fragment1,fragment2,cloneType,lineSimilarity
"|project://assignment2/data/large/1098324.java|(45362,1409,<1085,8>,<1118,9>)","|project://assignment2/data/large/1966020.java|(46918,1409,<1142,8>,<1175,9>)",type1(),100
"|project://assignment2/data/large/13449.java|(2268,3822,<90,4>,<172,5>)","|project://assignment2/data/large/111245.java|(2268,3822,<90,4>,<172,5>)",type1(),100
"|project://assignment2/data/large/100171.java|(3728,365,<113,4>,<124,5>)","|project://assignment2/data/large/2560904.java|(2841,365,<96,4>,<107,5>)",type1(),100
"|project://assignment2/data/large/2126013.java|(3749,822,<112,4>,<127,5>)","|project://assignment2/data/large/2126013.java|(5409,577,<152,4>,<167,5>)",type3(),81
"|project://assignment2/data/large/1109590.java|(48255,384,<1369,4>,<1380,5>)","|project://assignment2/data/large/1109590.java|(31042,401,<883,4>,<894,5>)",type3(),75
"|project://assignment2/data/large/105863.java|(3728,365,<113,4>,<124,5>)","|project://assignment2/data/large/23336.java|(3728,365,<113,4>,<124,5>)",type1(),100
"|project://assignment2/data/large/34597.java|(805,1348,<27,4>,<46,5>)","|project://assignment2/data/large/74387.java|(805,1348,<27,4>,<46,5>)",type1(),100
"|project://assignment2/data/large/10993.java|(4099,455,<126,4>,<138,5>)","|project://assignment2/data/large/70893.java|(4099,455,<126,4>,<138,5>)",type1(),100
"|project://assignment2/data/large/1109590.java|(14721,378,<409,4>,<419,5>)","|project://assignment2/data/large/1109590.java|(31042,401,<883,4>,<894,5>)",type3(),75
"|project://assignment2/data/large/31722.java|(588,628,<19,4>,<34,5>)","|project://assignment2/data/large/75612.java|(588,628,<19,4>,<34,5>)",type1(),100
"|project://assignment2/data/large/6000.java|(2159,599,<48,4>,<62,5>)","|project://assignment2/data/large/95809.java|(2159,599,<48,4>,<62,5>)",type1(),100
"|project://assignment2/data/large/2560904.java|(2841,365,<96,4>,<107,5>)","|project://assignment2/data/large/31722.java|(3728,365,<113,4>,<124,5>)",type1(),100
"|project://assignment2/data/large/70893.java|(5113,558,<159,4>,<173,5>)","|project://assignment2/data/large/14833.java|(5113,558,<159,4>,<173,5>)",type1(),100
"|project://assignment2/data/large/126904.java|(24956,2990,<509,4>,<560,5>)","|project://assignment2/data/large/1560483.java|(20146,2966,<427,4>,<478,5>)",type1(),100
"|project://assignment2/data/large/61962.java|(6893,2793,<199,4>,<265,5>)","|project://assignment2/data/large/13449.java|(6893,2793,<199,4>,<265,5>)",type1(),100
"|project://assignment2/data/large/47340.java|(4099,455,<126,4>,<138,5>)","|project://assignment2/data/large/10993.java|(4099,455,<126,4>,<138,5>)",type1(),100
"|project://assignment2/data/large/12148.java|(4099,455,<126,4>,<138,5>)","|project://assignment2/data/large/10640.java|(4099,455,<126,4>,<138,5>)",type1(),100
"|project://assignment2/data/large/41662.java|(3291,431,<99,4>,<111,5>)","|project://assignment2/data/large/31722.java|(3291,431,<99,4>,<111,5>)",type1(),100
"|project://assignment2/data/large/209298.java|(39645,1348,<909,8>,<941,9>)","|project://assignment2/data/large/2430560.java|(46204,1409,<1110,8>,<1143,9>)",type3(),71
"|project://assignment2/data/large/31722.java|(588,628,<19,4>,<34,5>)","|project://assignment2/data/large/105863.java|(588,628,<19,4>,<34,5>)",type1(),100
"|project://assignment2/data/large/10640.java|(588,628,<19,4>,<34,5>)","|project://assignment2/data/large/12148.java|(588,628,<19,4>,<34,5>)",type1(),100
"|project://assignment2/data/large/209298.java|(13376,2661,<213,4>,<261,5>)","|project://assignment2/data/large/2599719.java|(14309,2639,<245,4>,<293,5>)",type1(),100
"|project://assignment2/data/large/43963.java|(6893,2793,<199,4>,<265,5>)","|project://assignment2/data/large/130814.java|(6893,2793,<199,4>,<265,5>)",type1(),100
"|project://assignment2/data/large/2481579.java|(44775,965,<1071,8>,<1098,9>)","|project://assignment2/data/large/1966020.java|(44951,947,<1071,8>,<1097,9>)",type1(),100
"|project://assignment2/data/large/2599719.java|(33634,868,<735,4>,<760,5>)","|project://assignment2/data/large/925397.java|(34949,876,<751,4>,<776,5>)",type1(),100
"|project://assignment2/data/large/97910.java|(3728,365,<113,4>,<124,5>)","|project://assignment2/data/large/57055.java|(3728,365,<113,4>,<124,5>)",type1(),100
"|project://assignment2/data/large/2430560.java|(38256,1184,<866,4>,<900,5>)","|project://assignment2/data/large/1966020.java|(37488,1184,<850,4>,<884,5>)",type2(),100
"|project://assignment2/data/large/126904.java|(33911,876,<733,4>,<758,5>)","|project://assignment2/data/large/2599719.java|(32777,851,<708,4>,<733,5>)",type3(),82
"|project://assignment2/data/large/47340.java|(5113,558,<159,4>,<173,5>)","|project://assignment2/data/large/104755.java|(5113,558,<159,4>,<173,5>)",type1(),100
"|project://assignment2/data/large/209298.java|(31909,859,<674,4>,<699,5>)","|project://assignment2/data/large/2481579.java|(33781,868,<750,4>,<775,5>)",type3(),82
"|project://assignment2/data/large/57055.java|(5113,558,<159,4>,<173,5>)","|project://assignment2/data/large/57755.java|(5113,558,<159,4>,<173,5>)",type1(),100
"|project://assignment2/data/large/2430560.java|(47623,1665,<1145,8>,<1186,9>)","|project://assignment2/data/large/1966020.java|(48337,1647,<1177,8>,<1217,9>)",type1(),100
"|project://assignment2/data/large/1966020.java|(21707,3303,<438,4>,<523,5>)","|project://assignment2/data/large/209298.java|(20532,3281,<391,4>,<475,5>)",type1(),100
"|project://assignment2/data/large/57755.java|(5113,558,<159,4>,<173,5>)","|project://assignment2/data/large/45886.java|(5113,558,<159,4>,<173,5>)",type1(),100
"|project://assignment2/data/large/1098324.java|(28828,1979,<596,4>,<647,5>)","|project://assignment2/data/large/126904.java|(29905,1987,<617,4>,<668,5>)",type1(),100
"|project://assignment2/data/large/1098324.java|(43515,827,<1020,8>,<1040,9>)","|project://assignment2/data/large/209298.java|(43590,838,<1010,8>,<1030,9>)",type1(),100
"|project://assignment2/data/large/2481579.java|(32924,851,<723,4>,<748,5>)","|project://assignment2/data/large/2599719.java|(32777,851,<708,4>,<733,5>)",type1(),100
"|project://assignment2/data/large/2430560.java|(46204,1409,<1110,8>,<1143,9>)","|project://assignment2/data/large/126904.java|(40746,1348,<940,8>,<972,9>)",type3(),71
"|project://assignment2/data/large/126904.java|(12460,769,<191,4>,<211,5>)","|project://assignment2/data/large/925397.java|(12741,789,<201,4>,<222,5>)",type1(),100
"|project://assignment2/data/large/105863.java|(4099,455,<126,4>,<138,5>)","|project://assignment2/data/large/10640.java|(4099,455,<126,4>,<138,5>)",type1(),100
"|project://assignment2/data/large/1109590.java|(38995,1040,<1101,4>,<1129,5>)","|project://assignment2/data/large/1109590.java|(38341,648,<1084,4>,<1099,5>)",type3(),83
"|project://assignment2/data/large/43963.java|(2268,3822,<90,4>,<172,5>)","|project://assignment2/data/large/32798.java|(2268,3822,<90,4>,<172,5>)",type1(),100
"|project://assignment2/data/large/1966020.java|(46918,1409,<1142,8>,<1175,9>)","|project://assignment2/data/large/126904.java|(46561,1428,<1106,8>,<1139,9>)",type1(),100
"|project://assignment2/data/large/47340.java|(3728,365,<113,4>,<124,5>)","|project://assignment2/data/large/10993.java|(3728,365,<113,4>,<124,5>)",type1(),100
"|project://assignment2/data/large/47340.java|(3291,431,<99,4>,<111,5>)","|project://assignment2/data/large/100171.java|(3291,431,<99,4>,<111,5>)",type1(),100
"|project://assignment2/data/large/1966020.java|(17755,2434,<322,4>,<388,5>)","|project://assignment2/data/large/2599719.java|(17517,2402,<310,4>,<374,5>)",type3(),93
"|project://assignment2/data/large/104755.java|(4099,455,<126,4>,<138,5>)","|project://assignment2/data/large/75612.java|(4099,455,<126,4>,<138,5>)",type1(),100
"|project://assignment2/data/large/61962.java|(2268,3822,<90,4>,<172,5>)","|project://assignment2/data/large/103968.java|(2268,3822,<90,4>,<172,5>)",type1(),100
"|project://assignment2/data/large/2430560.java|(27704,1615,<564,4>,<605,5>)","|project://assignment2/data/large/126904.java|(27952,1625,<562,4>,<603,5>)",type1(),100
"|project://assignment2/data/large/104755.java|(588,628,<19,4>,<34,5>)","|project://assignment2/data/large/130398.java|(588,628,<19,4>,<34,5>)",type1(),100
"|project://assignment2/data/large/2599719.java|(38273,1184,<866,4>,<900,5>)","|project://assignment2/data/large/2430560.java|(38256,1184,<866,4>,<900,5>)",type1(),100
"|project://assignment2/data/large/100171.java|(5113,558,<159,4>,<173,5>)","|project://assignment2/data/large/23336.java|(5113,558,<159,4>,<173,5>)",type1(),100
"|project://assignment2/data/large/10993.java|(588,628,<19,4>,<34,5>)","|project://assignment2/data/large/12148.java|(588,628,<19,4>,<34,5>)",type1(),100
"|project://assignment2/data/large/1109590.java|(11363,403,<305,4>,<315,5>)","|project://assignment2/data/large/1109590.java|(5330,456,<149,4>,<159,5>)",type3(),72
"|project://assignment2/data/large/100171.java|(3291,431,<99,4>,<111,5>)","|project://assignment2/data/large/75612.java|(3291,431,<99,4>,<111,5>)",type1(),100
"|project://assignment2/data/large/75351.java|(210,641,<11,4>,<28,5>)","|project://assignment2/data/large/98852.java|(210,641,<11,4>,<28,5>)",type1(),100
"|project://assignment2/data/large/2430560.java|(37066,1184,<830,4>,<864,5>)","|project://assignment2/data/large/1802351.java|(38268,1184,<866,4>,<900,5>)",type2(),100
"|project://assignment2/data/large/1098324.java|(23920,2966,<488,4>,<539,5>)","|project://assignment2/data/large/2599719.java|(24743,2966,<511,4>,<562,5>)",type1(),100
"|project://assignment2/data/large/46050.java|(588,628,<19,4>,<34,5>)","|project://assignment2/data/large/14833.java|(588,628,<19,4>,<34,5>)",type1(),100
"|project://assignment2/data/large/130398.java|(588,628,<19,4>,<34,5>)","|project://assignment2/data/large/47340.java|(588,628,<19,4>,<34,5>)",type1(),100
"|project://assignment2/data/large/1802351.java|(35910,1162,<799,4>,<828,5>)","|project://assignment2/data/large/1098324.java|(35092,1162,<776,4>,<805,5>)",type1(),100
"|project://assignment2/data/large/1802351.java|(38268,1184,<866,4>,<900,5>)","|project://assignment2/data/large/2430560.java|(37066,1184,<830,4>,<864,5>)",type2(),100
"|project://assignment2/data/large/75612.java|(3728,365,<113,4>,<124,5>)","|project://assignment2/data/large/57055.java|(3728,365,<113,4>,<124,5>)",type1(),100
"|project://assignment2/data/large/45886.java|(3728,365,<113,4>,<124,5>)","|project://assignment2/data/large/104755.java|(3728,365,<113,4>,<124,5>)",type1(),100
"|project://assignment2/data/large/89548.java|(2268,3822,<90,4>,<172,5>)","|project://assignment2/data/large/111245.java|(2268,3822,<90,4>,<172,5>)",type1(),100
"|project://assignment2/data/large/48890.java|(3728,365,<113,4>,<124,5>)","|project://assignment2/data/large/45886.java|(3728,365,<113,4>,<124,5>)",type1(),100
"|project://assignment2/data/large/2599719.java|(44338,827,<1043,8>,<1063,9>)","|project://assignment2/data/large/2430560.java|(44339,845,<1044,8>,<1065,9>)",type1(),100
"|project://assignment2/data/large/97910.java|(588,628,<19,4>,<34,5>)","|project://assignment2/data/large/75612.java|(588,628,<19,4>,<34,5>)",type1(),100
"|project://assignment2/data/large/57755.java|(3728,365,<113,4>,<124,5>)","|project://assignment2/data/large/104755.java|(3728,365,<113,4>,<124,5>)",type1(),100
"|project://assignment2/data/large/62894.java|(2268,3822,<90,4>,<172,5>)","|project://assignment2/data/large/32798.java|(2268,3822,<90,4>,<172,5>)",type1(),100
"|project://assignment2/data/large/97910.java|(588,628,<19,4>,<34,5>)","|project://assignment2/data/large/105863.java|(588,628,<19,4>,<34,5>)",type1(),100
"|project://assignment2/data/large/1109590.java|(33944,407,<965,4>,<975,5>)","|project://assignment2/data/large/1109590.java|(5330,456,<149,4>,<159,5>)",type3(),72
"|project://assignment2/data/large/1560483.java|(28180,851,<624,4>,<649,5>)","|project://assignment2/data/large/126904.java|(33046,859,<706,4>,<731,5>)",type1(),100
"|project://assignment2/data/large/1098324.java|(13523,2639,<223,4>,<271,5>)","|project://assignment2/data/large/126904.java|(14413,2661,<243,4>,<291,5>)",type1(),100
"|project://assignment2/data/large/209298.java|(20532,3281,<391,4>,<475,5>)","|project://assignment2/data/large/925397.java|(22073,3388,<435,4>,<520,5>)",type3(),98
"|project://assignment2/data/large/105863.java|(4099,455,<126,4>,<138,5>)","|project://assignment2/data/large/70893.java|(4099,455,<126,4>,<138,5>)",type1(),100
"|project://assignment2/data/large/10993.java|(3728,365,<113,4>,<124,5>)","|project://assignment2/data/large/23336.java|(3728,365,<113,4>,<124,5>)",type1(),100
"|project://assignment2/data/large/130398.java|(4099,455,<126,4>,<138,5>)","|project://assignment2/data/large/12148.java|(4099,455,<126,4>,<138,5>)",type1(),100
"|project://assignment2/data/large/130398.java|(4099,455,<126,4>,<138,5>)","|project://assignment2/data/large/48890.java|(4099,455,<126,4>,<138,5>)",type1(),100
"|project://assignment2/data/large/1966020.java|(50636,517,<1238,8>,<1251,9>)","|project://assignment2/data/large/209298.java|(49252,520,<1172,8>,<1185,9>)",type1(),100
"|project://assignment2/data/large/100171.java|(3291,431,<99,4>,<111,5>)","|project://assignment2/data/large/104755.java|(3291,431,<99,4>,<111,5>)",type1(),100
"|project://assignment2/data/large/2481579.java|(50513,517,<1241,8>,<1254,9>)","|project://assignment2/data/large/2430560.java|(49958,517,<1208,8>,<1221,9>)",type1(),100
"|project://assignment2/data/large/1109590.java|(26433,1761,<739,4>,<802,5>)","|project://assignment2/data/large/1109590.java|(33944,407,<965,4>,<975,5>)",type3(),72
"|project://assignment2/data/large/100171.java|(3291,431,<99,4>,<111,5>)","|project://assignment2/data/large/105863.java|(3291,431,<99,4>,<111,5>)",type1(),100
"|project://assignment2/data/large/2430560.java|(37066,1184,<830,4>,<864,5>)","|project://assignment2/data/large/1098324.java|(37450,1184,<843,4>,<877,5>)",type2(),100
"|project://assignment2/data/large/41662.java|(5113,558,<159,4>,<173,5>)","|project://assignment2/data/large/45886.java|(5113,558,<159,4>,<173,5>)",type1(),100
"|project://assignment2/data/large/126904.java|(40746,1348,<940,8>,<972,9>)","|project://assignment2/data/large/925397.java|(41938,1298,<956,8>,<987,9>)",type3(),91
"|project://assignment2/data/large/130814.java|(6420,467,<183,4>,<197,5>)","|project://assignment2/data/large/19995.java|(6420,467,<183,4>,<197,5>)",type1(),100
"|project://assignment2/data/large/31722.java|(3728,365,<113,4>,<124,5>)","|project://assignment2/data/large/57055.java|(3728,365,<113,4>,<124,5>)",type1(),100
"|project://assignment2/data/large/1560483.java|(35822,1328,<858,8>,<890,9>)","|project://assignment2/data/large/2430560.java|(46204,1409,<1110,8>,<1143,9>)",type3(),71
"|project://assignment2/data/large/1560483.java|(45306,517,<1120,8>,<1133,9>)","|project://assignment2/data/large/2599719.java|(49903,517,<1204,8>,<1217,9>)",type1(),100
"|project://assignment2/data/large/209298.java|(36247,1191,<796,4>,<830,5>)","|project://assignment2/data/large/209298.java|(37444,1191,<832,4>,<866,5>)",type2(),100
"|project://assignment2/data/large/12148.java|(3291,431,<99,4>,<111,5>)","|project://assignment2/data/large/46050.java|(3291,431,<99,4>,<111,5>)",type1(),100
"|project://assignment2/data/large/209298.java|(39645,1348,<909,8>,<941,9>)","|project://assignment2/data/large/1098324.java|(39596,1328,<919,8>,<951,9>)",type1(),100
"|project://assignment2/data/large/1802351.java|(27710,1615,<564,4>,<605,5>)","|project://assignment2/data/large/1098324.java|(26892,1615,<541,4>,<582,5>)",type1(),100
"|project://assignment2/data/large/1109590.java|(2648,388,<76,4>,<87,5>)","|project://assignment2/data/large/1109590.java|(48255,384,<1369,4>,<1380,5>)",type2(),100
"|project://assignment2/data/large/46050.java|(5113,558,<159,4>,<173,5>)","|project://assignment2/data/large/47340.java|(5113,558,<159,4>,<173,5>)",type1(),100
"|project://assignment2/data/large/1109590.java|(29072,496,<831,4>,<842,5>)","|project://assignment2/data/large/1109590.java|(30558,478,<870,4>,<881,5>)",type2(),100
"|project://assignment2/data/large/89548.java|(2268,3822,<90,4>,<172,5>)","|project://assignment2/data/large/6711.java|(2268,3822,<90,4>,<172,5>)",type1(),100
"|project://assignment2/data/large/10640.java|(3291,431,<99,4>,<111,5>)","|project://assignment2/data/large/10993.java|(3291,431,<99,4>,<111,5>)",type1(),100
"|project://assignment2/data/large/2481579.java|(34655,1433,<777,4>,<814,5>)","|project://assignment2/data/large/1098324.java|(33685,1401,<739,4>,<774,5>)",type3(),89
"|project://assignment2/data/large/103968.java|(6893,2793,<199,4>,<265,5>)","|project://assignment2/data/large/6711.java|(6893,2793,<199,4>,<265,5>)",type1(),100
"|project://assignment2/data/large/23336.java|(3728,365,<113,4>,<124,5>)","|project://assignment2/data/large/104755.java|(3728,365,<113,4>,<124,5>)",type1(),100
"|project://assignment2/data/large/13449.java|(2268,3822,<90,4>,<172,5>)","|project://assignment2/data/large/32798.java|(2268,3822,<90,4>,<172,5>)",type1(),100
"|project://assignment2/data/large/12148.java|(588,628,<19,4>,<34,5>)","|project://assignment2/data/large/48890.java|(588,628,<19,4>,<34,5>)",type1(),100
"|project://assignment2/data/large/48890.java|(4099,455,<126,4>,<138,5>)","|project://assignment2/data/large/10993.java|(4099,455,<126,4>,<138,5>)",type1(),100
"|project://assignment2/data/large/2430560.java|(38256,1184,<866,4>,<900,5>)","|project://assignment2/data/large/925397.java|(38502,1245,<846,4>,<880,5>)",type3(),88
"|project://assignment2/data/large/126904.java|(49667,640,<1183,8>,<1200,9>)","|project://assignment2/data/large/1802351.java|(49256,632,<1185,8>,<1202,9>)",type1(),100
"|project://assignment2/data/large/75612.java|(3291,431,<99,4>,<111,5>)","|project://assignment2/data/large/32955.java|(3291,431,<99,4>,<111,5>)",type1(),100
"|project://assignment2/data/large/48890.java|(5113,558,<159,4>,<173,5>)","|project://assignment2/data/large/104755.java|(5113,558,<159,4>,<173,5>)",type1(),100
"|project://assignment2/data/large/39053.java|(5850,452,<145,4>,<156,5>)","|project://assignment2/data/large/2432188.java|(13726,664,<342,4>,<362,5>)",type3(),75
"|project://assignment2/data/large/1966020.java|(25016,2975,<525,4>,<576,5>)","|project://assignment2/data/large/126904.java|(24956,2990,<509,4>,<560,5>)",type1(),100
"|project://assignment2/data/large/1109590.java|(13952,373,<385,4>,<395,5>)","|project://assignment2/data/large/1109590.java|(14721,378,<409,4>,<419,5>)",type2(),100
"|project://assignment2/data/large/2481579.java|(33781,868,<750,4>,<775,5>)","|project://assignment2/data/large/1098324.java|(31954,851,<685,4>,<710,5>)",type3(),82
"|project://assignment2/data/large/209298.java|(23819,2990,<477,4>,<528,5>)","|project://assignment2/data/large/925397.java|(25467,3216,<522,4>,<576,5>)",type3(),76
"|project://assignment2/data/large/105863.java|(3728,365,<113,4>,<124,5>)","|project://assignment2/data/large/57755.java|(3728,365,<113,4>,<124,5>)",type1(),100
"|project://assignment2/data/large/126904.java|(14413,2661,<243,4>,<291,5>)","|project://assignment2/data/large/2481579.java|(14396,2638,<257,4>,<305,5>)",type1(),100
"|project://assignment2/data/large/46050.java|(4099,455,<126,4>,<138,5>)","|project://assignment2/data/large/23336.java|(4099,455,<126,4>,<138,5>)",type1(),100
"|project://assignment2/data/large/2481579.java|(24843,2963,<524,4>,<575,5>)","|project://assignment2/data/large/2430560.java|(24732,2966,<511,4>,<562,5>)",type1(),100
"|project://assignment2/data/large/130398.java|(588,628,<19,4>,<34,5>)","|project://assignment2/data/large/46050.java|(588,628,<19,4>,<34,5>)",type1(),100
"|project://assignment2/data/large/103968.java|(2268,3822,<90,4>,<172,5>)","|project://assignment2/data/large/89548.java|(2268,3822,<90,4>,<172,5>)",type1(),100
"|project://assignment2/data/large/1802351.java|(29646,1979,<619,4>,<670,5>)","|project://assignment2/data/large/2481579.java|(29804,1973,<634,4>,<685,5>)",type3(),97
"|project://assignment2/data/large/1098324.java|(36260,1184,<807,4>,<841,5>)","|project://assignment2/data/large/1966020.java|(37488,1184,<850,4>,<884,5>)",type1(),100
"|project://assignment2/data/large/1109590.java|(18415,382,<517,4>,<527,5>)","|project://assignment2/data/large/1109590.java|(5330,456,<149,4>,<159,5>)",type3(),72
"|project://assignment2/data/large/2430560.java|(46204,1409,<1110,8>,<1143,9>)","|project://assignment2/data/large/1098324.java|(39596,1328,<919,8>,<951,9>)",type3(),71
"|project://assignment2/data/large/57055.java|(5113,558,<159,4>,<173,5>)","|project://assignment2/data/large/23336.java|(5113,558,<159,4>,<173,5>)",type1(),100
"|project://assignment2/data/large/14833.java|(3728,365,<113,4>,<124,5>)","|project://assignment2/data/large/104755.java|(3728,365,<113,4>,<124,5>)",type1(),100
"|project://assignment2/data/large/130398.java|(5113,558,<159,4>,<173,5>)","|project://assignment2/data/large/10640.java|(5113,558,<159,4>,<173,5>)",type1(),100
"|project://assignment2/data/large/1109590.java|(14331,384,<397,4>,<407,5>)","|project://assignment2/data/large/1109590.java|(5330,456,<149,4>,<159,5>)",type3(),72
"|project://assignment2/data/large/31722.java|(3291,431,<99,4>,<111,5>)","|project://assignment2/data/large/32955.java|(3291,431,<99,4>,<111,5>)",type1(),100
"|project://assignment2/data/large/32955.java|(5113,558,<159,4>,<173,5>)","|project://assignment2/data/large/14833.java|(5113,558,<159,4>,<173,5>)",type1(),100
"|project://assignment2/data/large/925397.java|(32842,1236,<688,4>,<722,5>)","|project://assignment2/data/large/126904.java|(31898,1142,<670,4>,<704,5>)",type3(),92
"|project://assignment2/data/large/1109590.java|(47893,356,<1357,4>,<1367,5>)","|project://assignment2/data/large/1109590.java|(5330,456,<149,4>,<159,5>)",type3(),72
"|project://assignment2/data/large/1560483.java|(44664,632,<1101,8>,<1118,9>)","|project://assignment2/data/large/925397.java|(50845,680,<1198,8>,<1216,9>)",type1(),100
"|project://assignment2/data/large/2560904.java|(3212,455,<109,4>,<121,5>)","|project://assignment2/data/large/12148.java|(4099,455,<126,4>,<138,5>)",type1(),100
"|project://assignment2/data/large/1802351.java|(49898,517,<1204,8>,<1217,9>)","|project://assignment2/data/large/1098324.java|(49080,517,<1181,8>,<1194,9>)",type1(),100
"|project://assignment2/data/large/80717.java|(1385,5119,<53,4>,<166,5>)","|project://assignment2/data/large/128513.java|(1385,5114,<53,4>,<166,5>)",type3(),95
"|project://assignment2/data/large/32955.java|(588,628,<19,4>,<34,5>)","|project://assignment2/data/large/105863.java|(588,628,<19,4>,<34,5>)",type1(),100
"|project://assignment2/data/large/1109590.java|(14331,384,<397,4>,<407,5>)","|project://assignment2/data/large/1109590.java|(14721,378,<409,4>,<419,5>)",type2(),100
"|project://assignment2/data/large/1109590.java|(29072,496,<831,4>,<842,5>)","|project://assignment2/data/large/1109590.java|(50852,390,<1435,4>,<1446,5>)",type3(),75
"|project://assignment2/data/large/1966020.java|(38678,1184,<886,4>,<920,5>)","|project://assignment2/data/large/2430560.java|(37066,1184,<830,4>,<864,5>)",type2(),100
"|project://assignment2/data/large/925397.java|(47749,1378,<1121,8>,<1153,9>)","|project://assignment2/data/large/1802351.java|(46180,1409,<1108,8>,<1141,9>)",type3(),92
"|project://assignment2/data/large/43033.java|(805,1348,<27,4>,<46,5>)","|project://assignment2/data/large/74387.java|(805,1348,<27,4>,<46,5>)",type1(),100
"|project://assignment2/data/large/57055.java|(3291,431,<99,4>,<111,5>)","|project://assignment2/data/large/75612.java|(3291,431,<99,4>,<111,5>)",type1(),100
"|project://assignment2/data/large/89548.java|(6893,2793,<199,4>,<265,5>)","|project://assignment2/data/large/130814.java|(6893,2793,<199,4>,<265,5>)",type1(),100
"|project://assignment2/data/large/209298.java|(49252,520,<1172,8>,<1185,9>)","|project://assignment2/data/large/925397.java|(51535,560,<1218,8>,<1232,9>)",type1(),100
"|project://assignment2/data/large/10640.java|(3728,365,<113,4>,<124,5>)","|project://assignment2/data/large/105863.java|(3728,365,<113,4>,<124,5>)",type1(),100
"|project://assignment2/data/large/70893.java|(3291,431,<99,4>,<111,5>)","|project://assignment2/data/large/32955.java|(3291,431,<99,4>,<111,5>)",type1(),100
"|project://assignment2/data/large/126904.java|(34793,1409,<760,4>,<795,5>)","|project://assignment2/data/large/1966020.java|(34849,1433,<778,4>,<815,5>)",type3(),89
"|project://assignment2/data/large/14833.java|(5113,558,<159,4>,<173,5>)","|project://assignment2/data/large/45886.java|(5113,558,<159,4>,<173,5>)",type1(),100
"|project://assignment2/data/large/2481579.java|(34655,1433,<777,4>,<814,5>)","|project://assignment2/data/large/1966020.java|(34849,1433,<778,4>,<815,5>)",type1(),100
"|project://assignment2/data/large/2599719.java|(17517,2402,<310,4>,<374,5>)","|project://assignment2/data/large/2430560.java|(17506,2402,<310,4>,<374,5>)",type1(),100
"|project://assignment2/data/large/2481579.java|(37294,1184,<849,4>,<883,5>)","|project://assignment2/data/large/2430560.java|(37066,1184,<830,4>,<864,5>)",type1(),100
"|project://assignment2/data/large/2599719.java|(29651,1979,<619,4>,<670,5>)","|project://assignment2/data/large/1560483.java|(25054,1979,<535,4>,<586,5>)",type1(),100
"|project://assignment2/data/large/1966020.java|(48337,1647,<1177,8>,<1217,9>)","|project://assignment2/data/large/925397.java|(49137,1698,<1155,8>,<1196,9>)",type1(),100
"|project://assignment2/data/large/46050.java|(3728,365,<113,4>,<124,5>)","|project://assignment2/data/large/48890.java|(3728,365,<113,4>,<124,5>)",type1(),100
"|project://assignment2/data/large/2560904.java|(2406,429,<82,4>,<94,5>)","|project://assignment2/data/large/45886.java|(3291,431,<99,4>,<111,5>)",type2(),100
"|project://assignment2/data/large/1109590.java|(23542,411,<658,4>,<669,5>)","|project://assignment2/data/large/1109590.java|(4880,444,<137,4>,<147,5>)",type3(),83
"|project://assignment2/data/large/1109590.java|(28200,866,<804,4>,<829,5>)","|project://assignment2/data/large/1109590.java|(20917,692,<582,4>,<603,5>)",type3(),76
"|project://assignment2/data/large/1966020.java|(42162,2779,<996,8>,<1069,9>)","|project://assignment2/data/large/1802351.java|(41752,2571,<976,8>,<1041,9>)",type3(),82
"|project://assignment2/data/large/1098324.java|(45362,1409,<1085,8>,<1118,9>)","|project://assignment2/data/large/1802351.java|(46180,1409,<1108,8>,<1141,9>)",type1(),100
"|project://assignment2/data/large/126904.java|(47999,1658,<1141,8>,<1181,9>)","|project://assignment2/data/large/1560483.java|(43007,1647,<1059,8>,<1099,9>)",type1(),100
"|project://assignment2/data/large/2560904.java|(3212,455,<109,4>,<121,5>)","|project://assignment2/data/large/48890.java|(4099,455,<126,4>,<138,5>)",type1(),100
"|project://assignment2/data/large/1109590.java|(31042,401,<883,4>,<894,5>)","|project://assignment2/data/large/1109590.java|(50852,390,<1435,4>,<1446,5>)",type3(),75
"|project://assignment2/data/large/1109590.java|(13952,373,<385,4>,<395,5>)","|project://assignment2/data/large/1109590.java|(5330,456,<149,4>,<159,5>)",type3(),72
"|project://assignment2/data/large/2599719.java|(29651,1979,<619,4>,<670,5>)","|project://assignment2/data/large/1802351.java|(29646,1979,<619,4>,<670,5>)",type1(),100
"|project://assignment2/data/large/105863.java|(3291,431,<99,4>,<111,5>)","|project://assignment2/data/large/10993.java|(3291,431,<99,4>,<111,5>)",type1(),100
"|project://assignment2/data/large/19995.java|(6893,2793,<199,4>,<265,5>)","|project://assignment2/data/large/103968.java|(6893,2793,<199,4>,<265,5>)",type1(),100
"|project://assignment2/data/large/1966020.java|(36288,1194,<817,4>,<848,5>)","|project://assignment2/data/large/2599719.java|(35915,1162,<799,4>,<828,5>)",type3(),86
"|project://assignment2/data/large/46050.java|(5113,558,<159,4>,<173,5>)","|project://assignment2/data/large/75612.java|(5113,558,<159,4>,<173,5>)",type1(),100
"|project://assignment2/data/large/925397.java|(39753,1245,<882,4>,<916,5>)","|project://assignment2/data/large/2481579.java|(37294,1184,<849,4>,<883,5>)",type3(),88
"|project://assignment2/data/large/2599719.java|(31636,1135,<672,4>,<706,5>)","|project://assignment2/data/large/209298.java|(30761,1142,<638,4>,<672,5>)",type1(),100
